,smbm1,smbm2,smbm3,bigbm1,bigbm2,bigbm3,Mkt-RF,SMB,HML,RF
19831021,-4.35,-2.14,-1.19,-3.77,-1.89,-1.39,-2.84,-0.2,2.77,0.19
19831028,-2.39,-1.7,-1.21,-1.36,-1.08,-1.46,-1.58,-0.46,0.54,0.19
19831104,-1.2,-0.5,-0.33,-0.83,0.07,0.1,-0.56,-0.46,0.9,0.175
19831111,1.56,1.18,1.01,3.21,1.65,1.54,1.97,-0.89,-1.11,0.175
19831118,2.43,1.1,1.33,0.2,-0.38,-0.83,-0.13,1.96,-1.07,0.175
19831125,0.92,1.56,1.51,0.27,1.43,2.4,1.08,-0.04,1.36,0.175
19831202,-0.38,0.37,0.73,-1.39,-0.54,-1.1,-1,1.25,0.7,0.181
19831209,-1.62,0.29,0.23,0.2,-0.56,-0.1,-0.48,-0.21,0.77,0.181
19831216,-1.67,-1.3,-0.81,-1.77,-1.6,-1.47,-1.8,0.35,0.58,0.181
19831223,-0.1,-0.12,0.13,1.14,0.12,-0.19,0.19,-0.39,-0.55,0.181
19831230,0.88,0.93,0.65,0.67,1.4,1.35,0.85,-0.32,0.22,0.181
19840106,3.99,2.81,2.05,2.11,2.91,3.37,2.65,0.15,-0.33,0.189
19840113,-0.4,0.36,1.11,-2.33,-0.82,0.18,-1.17,1.35,2.01,0.189
19840120,-1.16,-0.18,0.34,-0.85,-0.6,-0.64,-0.87,0.36,0.85,0.189
19840127,-4.12,-1.77,-0.61,-3.42,-0.32,0.13,-1.91,-0.97,3.53,0.189
19840203,-4.1,-2.43,-1.62,-2.42,-2.12,-0.57,-2.26,-1.01,2.16,0.178
19840210,-5.36,-4.19,-2.93,-2.65,-3.07,-2.92,-3.27,-1.28,1.07,0.178
19840217,-0.84,-0.47,-0.81,-0.87,-0.48,0.34,-0.68,-0.37,0.62,0.178
19840224,0.34,-0.16,-0.08,1.25,0.83,1.42,0.65,-1.13,-0.13,0.178
19840302,1.84,2.18,2.09,0.61,1.39,2.31,1.3,0.6,0.98,0.182
19840309,-2.73,-1.47,-0.71,-3.58,-2.86,-2.73,-3.04,1.41,1.44,0.182
