,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,xrm
20091013,0.21,-0.14,-0.22,-0.44,-0.31,-0.28,-0.22,-0.46,-0.23,-0.32,-0.22
20091014,1.25,2.13,1.82,2.04,1.94,1.73,1.76,1.86,1.62,1.72,1.73
20091015,0.11,-0.31,-0.14,0.15,0.29,0.29,0.51,0.53,0.56,0.31,0.35
20091016,-0.27,-1.19,-1.08,-1.2,-1.04,-0.87,-1.13,-0.88,-0.77,-0.48,-0.82
20091019,0.31,0.9,0.79,1.12,0.72,0.82,1.15,1.14,1.16,1.1,0.92
20091020,-0.96,-1.83,-1.63,-1.29,-1.1,-1.11,-0.9,-0.83,-0.77,-0.81,-0.69
20091021,-0.42,-1.23,-1.26,-1.25,-1.26,-1.31,-0.85,-1.08,-0.95,-0.86,-0.9
20091022,0.11,1.39,1.54,1.34,1.25,1.17,1.23,1.12,1.27,1.16,1.05
20091023,-1.15,-2.63,-2.35,-1.92,-1.83,-1.39,-1.27,-1.62,-1.67,-1.29,-1.23
20091026,-1.52,-1.69,-1.2,-1.42,-1.48,-1.09,-1.6,-1.3,-1.2,-1.2,-1.2
20091027,-1.33,-1.12,-0.88,-1.08,-0.91,-1.46,-0.9,-1.09,-0.87,-0.52,-0.51
20091028,-2.99,-3.44,-3.56,-3.84,-3.53,-3.04,-3.37,-2.95,-2.68,-1.84,-2.16
20091029,1.08,2.59,2.11,2.37,2.51,2.25,2.53,2.56,2.67,2.14,2.2
20091030,-1.78,-3.49,-3.17,-3.23,-3.05,-2.66,-2.92,-2.87,-2.85,-2.64,-2.8
20091102,-0.57,-0.52,-0.42,-0.33,-0.05,0.29,0.32,0.46,0.64,0.74,0.54
20091103,0.83,1.45,1.38,1.61,1.55,1.52,1.37,0.91,0.43,0.63,0.45
20091104,-0.33,-1.61,-1.46,-1.04,-0.92,-0.35,-0.09,-0.3,0.03,0.22,0.03
20091105,1.84,3.74,3.52,2.91,2.89,2.4,2.35,2.14,2.01,1.99,2.07
20091106,-0.23,-0.26,-0.07,0.04,-0.02,0.01,0.05,0,0.09,0.36,0.24
20091109,0.68,1.69,1.72,1.93,2.24,2.33,2.15,2.32,2.44,2.37,2.17
20091110,-0.85,-1.58,-1.17,-0.79,-0.42,-0.19,-0.19,-0.06,-0.25,0.01,-0.05
20091111,0.39,1.21,0.7,0.9,0.9,0.74,0.78,0.36,0.56,0.44,0.52
20091112,-1.21,-2.65,-2.2,-2.13,-1.7,-1.41,-1.46,-1.32,-1.36,-1.07,-1.12
20091113,0.71,0.99,1.03,0.79,0.7,0.74,0.95,0.76,0.77,0.54,0.61
20091116,1.15,3.25,3.07,2.81,2.43,1.92,1.6,1.75,1.63,1.56,1.54
20091117,-0.28,-0.27,-0.09,-0.09,-0.08,-0.01,0.05,-0.16,-0.31,0.26,0.14
20091118,-0.04,-0.15,-0.44,-0.54,-0.5,-0.44,-0.55,-0.49,-0.53,-0.06,-0.13
20091119,-1.01,-2.69,-2.37,-2.31,-2.14,-2.01,-1.68,-1.89,-1.63,-1.29,-1.39
20091120,0.02,0.09,0.05,-0.24,-0.54,-0.47,-0.55,-0.48,-0.32,-0.33,-0.33
20091123,0.57,2.01,2.15,1.54,1.44,1.01,1.04,0.94,1.15,1.26,1.3
20091124,-0.18,-0.41,-0.27,-0.48,-0.45,-0.3,-0.17,0.01,-0.05,0.01,-0.09
20091125,0.17,-0.56,-0.2,0.11,0.36,0.63,0.84,0.94,0.91,0.58,0.47
20091127,-1.09,-2.91,-2.56,-2.54,-2.15,-1.9,-1.96,-1.97,-1.91,-1.63,-1.74
20091130,-0.05,0.75,0.29,0.08,-0.11,-0.13,0.27,0.06,0.2,0.4,0.28
