,smbm1,smbm2,smbm3,bigbm1,bigbm2,bigbm3,Mkt-RF,SMB,HML,RF
19310321,2.08,3.44,3.8,2.63,0.23,1.6,1.85,1.62,0.35,0.032
19310328,-4.31,-3.91,-5.52,-5.63,-4.49,-5.68,-4.99,0.69,-0.62,0.032
19310404,-2.41,-1.06,-2.1,-0.79,-1.69,-2.7,-1.16,-0.13,-0.8,0.019
19310411,-0.94,-0.63,-1.46,-1.37,-0.46,-2,-1.09,0.27,-0.57,0.019
19310418,-4.55,-4.98,-5.06,-3.2,-3.78,-4.85,-3.54,-0.92,-1.08,0.019
19310425,-3.66,-5.91,-8.19,-4.85,-6.71,-7.9,-5.79,0.57,-3.79,0.019
19310502,-2.8,-1.91,-4.57,-0.58,-1.71,1.5,-1.1,-2.83,0.15,0.022
19310509,0.91,2.07,2.1,3.4,0.22,-0.28,2.42,0.58,-1.25,0.022
19310516,-3.25,-2.71,-5.18,-4.85,-6.25,-7.1,-5.1,2.35,-2.1,0.022
19310523,-3.41,-3.44,-4.23,-4.01,-2.38,-2.95,-3.83,-0.58,0.12,0.022
19310529,-5.19,-5.13,-6.33,-5.1,-6.59,-8.57,-5.85,1.21,-2.3,0.022
19310606,1.11,1.36,3.92,0.87,1.47,5.13,1.05,-0.36,3.54,0.019
19310613,-0.33,0,3.83,3.75,6.11,8.93,4.48,-5.1,4.67,0.019
19310620,-0.11,0.4,1.78,2.21,1.08,-0.22,1.64,-0.33,-0.27,0.019
19310627,12.58,9.27,15.07,9.48,11.98,15.56,10.53,-0.03,4.29,0.019
19310703,-0.01,-2.95,-1.58,-1.06,-2.04,-2.7,-1.33,0.42,-1.61,0.015
19310711,-3.98,-4.34,-4.18,-4.3,-6.93,-8.83,-5.16,2.52,-2.36,0.015
19310718,-2.84,-2.31,-2.83,-0.49,-1.86,-2.16,-0.83,-1.15,-0.83,0.015
19310725,-0.99,-0.94,0.58,-2.08,-2.16,-1.62,-2.11,1.5,1.02,0.015
19310801,-2.13,-2.37,-1.27,0.17,-2.37,-2.11,-0.52,-0.48,-0.71,0.009
19310808,-0.47,-1.49,-4.05,-1.3,-3.24,-4.22,-1.83,0.91,-3.25,0.009
19310815,2.75,2.86,3.87,5.66,5.59,8.47,5.71,-3.41,1.96,0.009
19310822,-2.98,-2.36,-1.84,-3.9,-4.64,-3.06,-4.1,1.47,0.99,0.009
19310829,-1.01,0.09,-0.62,1.73,2.05,0.45,1.6,-1.92,-0.45,0.009
19310904,-0.78,-5.08,-6.16,-5.52,-7.09,-10.5,-5.33,3.69,-5.17,0.006
19310912,-6.27,-3.99,-6.48,-6.11,-6.46,-8.51,-6.21,1.44,-1.31,0.006
19310919,-10.44,-12.43,-15.97,-9.96,-12.3,-16.22,-10.93,-0.12,-5.89,0.006
19310926,-5.59,-2.32,-2.16,-3.94,-0.03,3.96,-2.85,-3.35,5.66,0.006
19311003,-9.98,-14.16,-13.17,-11.8,-12,-13.56,-11.99,0.02,-2.47,0.026
19311010,8.78,12.12,13.17,12.09,13.62,16.66,12.71,-2.76,4.48,0.026
19311017,-2.14,-1.14,-3.61,-2.15,-2.39,-2.25,-2.22,-0.03,-0.78,0.026
19311024,2.3,2.95,4.31,5.44,2.55,1.97,4.61,-0.13,-0.73,0.026
19311031,-3.17,-1.31,-2.09,-2.62,-4.39,-0.46,-3.18,0.31,1.62,0.026
19311107,6.38,10.01,8.42,7.68,7.15,10.4,7.57,-0.14,2.38,0.042
19311114,-1.92,-4.83,-3.69,-5.59,-7.89,-9.21,-6.3,4.08,-2.69,0.042
19311121,-6.86,-6.22,-5.75,-5.95,-9.36,-9.55,-6.91,2.01,-1.24,0.042
19311128,-6.39,-4.81,-7.41,-4.75,-10.87,-10.06,-6.26,2.36,-3.17,0.042
19311205,-5.5,-3.22,-5.7,1.91,2.93,-1.03,1.74,-6.08,-1.57,0.031
19311212,-8.13,-11.01,-14.59,-9.85,-15.01,-15.21,-11.2,2.11,-5.91,0.031
19311219,3.83,-2.03,0.52,1.03,3.91,2.81,1.71,-1.81,-0.76,0.031
19311224,-3.7,-3.48,-6.95,-3.48,-8.35,-9.04,-4.7,2.25,-4.4,0.031
